證券代號,交易日,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0050,2021-11-17,27642686,21969,3911651162,141.3,141.7,141.15,141.65,0.45,141.6,2,141.65,59,0.0
0051,2021-11-17,131363,115,8083542,61.3,61.8,61.25,61.75,0.65,61.75,20,61.85,4,0.0
0052,2021-11-17,759485,627,99251706,131.15,131.2,130.2,130.35,0.3,130.3,40,130.35,5,0.0
0053,2021-11-17,14058,49,981088,70.05,70.05,69.6,69.6,0.35,69.75,2,70.0,1,0.0
0054,2021-11-17,8164,33,261457,32.06,32.1,31.99,32.0,0.01,31.89,1,31.9,9,0.0
0055,2021-11-17,2011245,767,50003027,24.56,25.11,24.55,25.11,0.63,25.11,5,25.2,7,0.0
0056,2021-11-17,20190199,8823,659224181,32.64,32.71,32.59,32.71,0.12,32.7,77,32.71,137,0.0
0057,2021-11-17,24212,54,2358742,97.6,97.6,97.5,97.5,0.4,97.2,45,97.3,2,0.0
0061,2021-11-17,153694,98,3476113,22.61,22.71,22.52,22.59,0.09,22.59,2,22.61,1,0.0
006203,2021-11-17,1591,43,107001,67.7,67.7,67.7,67.7,0.0,67.7,1,67.95,35,0.0
006204,2021-11-17,44998,102,4008602,89.15,89.25,88.95,89.25,0.5,89.25,1,89.3,2,0.0
006205,2021-11-17,403281,106,14776563,36.69,36.74,36.56,36.68,0.03,36.65,1,36.66,8,0.0
006206,2021-11-17,583110,539,20767656,35.56,35.7,35.5,35.65,0.01,35.63,6,35.65,1,0.0
006207,2021-11-17,138833,20,4125360,29.65,29.77,29.62,29.72,0.02,29.68,1,29.72,30,0.0
006208,2021-11-17,1497033,1725,119333283,79.75,79.85,79.5,79.7,0.15,79.65,19,79.7,40,0.0
00625K,2021-11-17,0,0,0,,,,,0.0,8.4,5,8.58,2,0.0
00631L,2021-11-17,933321,456,128336332,137.35,137.85,136.8,137.85,1.1,137.85,127,137.9,2,0.0
00632R,2021-11-17,48333592,3333,256698273,5.31,5.33,5.3,5.31,0.01,5.3,11362,5.31,6062,0.0
00633L,2021-11-17,2360730,614,129182940,54.7,55.2,54.4,54.65,0.15,54.6,20,54.65,163,0.0
00634R,2021-11-17,87000,11,346300,4.0,4.0,3.97,3.98,0.0,3.98,165,3.99,49,0.0
00635U,2021-11-17,513617,210,12675041,24.7,24.71,24.66,24.67,0.18,24.67,3,24.68,120,0.0
00636,2021-11-17,2511266,1361,62491152,24.89,25.0,24.8,24.89,0.0,24.89,30,24.9,25,0.0
00636K,2021-11-17,200,2,1780,8.9,8.9,8.9,8.9,0.11,8.9,6,8.98,6,0.0
00637L,2021-11-17,18893622,3188,410282731,21.73,21.9,21.6,21.65,0.01,21.65,605,21.66,10,0.0
00638R,2021-11-17,1518000,75,12496300,8.22,8.24,8.18,8.22,0.0,8.22,197,8.23,199,0.0
00639,2021-11-17,712625,369,11884846,16.66,16.71,16.6,16.69,0.03,16.69,31,16.7,5,0.0
00640L,2021-11-17,132014,38,4147021,31.51,31.51,31.33,31.49,0.23,31.48,1,31.49,48,0.0
00641R,2021-11-17,65000,13,641050,9.85,9.88,9.85,9.85,0.04,9.85,103,9.86,6,0.0
00642U,2021-11-17,4235108,1173,59265682,14.04,14.04,13.96,14.0,0.18,13.99,72,14.0,209,0.0
00643,2021-11-17,110398,43,2118014,19.15,19.22,19.15,19.16,0.01,19.15,2,19.17,2,0.0
00643K,2021-11-17,0,0,0,,,,,0.0,4.45,2,4.53,1,0.0
00645,2021-11-17,144488,71,3889379,26.87,26.95,26.87,26.91,0.13,26.91,90,26.94,2,0.0
00646,2021-11-17,130225,204,5233236,40.2,40.23,40.14,40.19,0.22,40.19,4,40.2,9,0.0
