證券代號,交易日,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0050,2021-12-01,4329326,5203,603377795,138.1,140.5,138.05,140.3,2.3,140.25,11,140.3,8,0.0
0051,2021-12-01,82154,120,4865422,59.25,59.55,58.95,59.55,0.1,59.45,2,59.55,57,0.0
0052,2021-12-01,443264,345,57259339,127.7,130.05,127.6,129.8,2.1,129.75,2,129.8,17,0.0
0053,2021-12-01,1047,5,70349,67.2,67.2,67.2,67.2,0.0,67.7,1,67.8,1,0.0
0054,2021-12-01,17042,4,519781,30.5,30.5,30.5,30.5,0.02,30.51,8,30.78,8,0.0
0055,2021-12-01,520313,308,12317457,23.53,23.82,23.5,23.82,0.27,23.8,5,23.83,5,0.0
0056,2021-12-01,8905367,5276,288495336,32.28,32.54,32.16,32.5,0.2,32.5,263,32.51,179,0.0
0057,2021-12-01,24000,6,2306350,95.5,96.5,95.5,96.5,1.25,96.25,20,96.55,2,0.0
0061,2021-12-01,131077,27,2926868,22.3,22.47,22.29,22.33,0.09,22.32,1,22.33,7,0.0
006203,2021-12-01,1000,1,67100,67.1,67.1,67.1,67.1,0.7,67.25,35,67.55,35,0.0
006204,2021-12-01,24006,8,2111225,87.5,88.05,87.2,88.05,0.55,88.0,50,88.3,25,0.0
006205,2021-12-01,351564,81,12789013,36.33,36.45,36.25,36.3,0.03,36.26,102,36.3,5,0.0
006206,2021-12-01,54660,35,1915906,35.18,35.18,34.95,35.0,0.07,34.94,6,34.97,1,0.0
006207,2021-12-01,25000,11,734560,29.43,29.46,29.35,29.35,0.05,29.32,1,29.36,2,0.0
006208,2021-12-01,1815817,2072,142795359,78.0,79.15,77.95,79.0,1.1,78.95,24,79.0,12,0.0
00625K,2021-12-01,0,0,0,,,,,0.0,8.37,5,8.55,2,0.0
00631L,2021-12-01,2397936,1184,321456408,131.65,135.85,131.35,135.4,3.7,135.35,10,135.4,26,0.0
00632R,2021-12-01,145062612,6062,779683370,5.42,5.43,5.33,5.34,0.08,5.34,7988,5.35,13759,0.0
00633L,2021-12-01,4592529,492,242831200,52.75,53.25,52.4,52.75,0.0,52.75,39,52.8,751,0.0
00634R,2021-12-01,185000,29,744750,4.03,4.05,4.01,4.03,0.01,4.02,399,4.03,10,0.0
00635U,2021-12-01,686001,256,16198106,23.65,23.66,23.58,23.66,0.14,23.66,6,23.67,200,0.0
00636,2021-12-01,640180,103,15691891,24.4,24.61,24.39,24.49,0.02,24.49,1,24.51,99,0.0
00636K,2021-12-01,200,2,1768,8.84,8.84,8.84,8.84,0.01,8.77,8,8.86,8,0.0
00637L,2021-12-01,19092051,2531,401357736,20.99,21.17,20.84,20.97,0.03,20.96,98,20.97,491,0.0
00638R,2021-12-01,1168000,29,9695560,8.34,8.34,8.29,8.32,0.01,8.32,7,8.33,647,0.0
00639,2021-12-01,533425,96,8814672,16.56,16.57,16.5,16.5,0.06,16.5,3,16.51,140,0.0
00640L,2021-12-01,647000,223,18313200,27.98,28.59,27.86,28.45,0.02,28.43,6,28.45,37,0.0
00641R,2021-12-01,198030,51,2055571,10.42,10.42,10.32,10.34,0.02,10.34,98,10.36,3,0.0
00642U,2021-12-01,18741992,4058,223216303,11.84,12.05,11.75,12.04,0.26,12.03,97,12.04,479,0.0
00643,2021-12-01,94167,63,1780690,19.0,19.01,18.81,18.81,0.2,18.81,18,18.86,4,0.0
00643K,2021-12-01,0,0,0,,,,,0.0,4.34,2,4.42,1,0.0
00645,2021-12-01,400361,71,10225292,25.64,25.65,25.36,25.59,0.11,25.59,2,25.62,10,0.0
00646,2021-12-01,1063740,697,41709528,39.16,39.34,39.06,39.31,0.21,39.3,2,39.31,9,0.0
00647L,2021-12-01,175031,93,12989044,73.45,74.6,73.45,74.6,0.55,74.55,1,74.6,60,0.0
00648R,2021-12-01,3515000,167,23179360,6.62,6.63,6.57,6.58,0.02,6.57,1602,6.58,78,0.0
00650L,2021-12-01,2087285,296,43395071,20.31,21.05,20.31,20.92,0.61,20.91,6,20.93,10,0.0
00651R,2021-12-01,674000,95,5346630,8.08,8.08,7.89,7.9,0.15,7.9,109,7.92,26,0.0
00652,2021-12-01,140301,110,3980293,28.16,28.54,28.16,28.42,0.24,28.41,33,28.47,1,0.0
00653L,2021-12-01,462361,225,20162292,43.35,44.1,43.01,44.05,0.25,44.01,4,44.05,28,0.0
00654R,2021-12-01,255000,73,2150420,8.46,8.48,8.39,8.42,0.05,8.38,138,8.42,129,0.0
00655L,2021-12-01,690100,225,27498598,39.95,40.18,39.55,39.81,0.08,39.8,5,39.81,104,0.0
